FACILITY NAME,Full Address,Street #,Street Name,Suite,City,Province,Postal Code,Ward,Performance,Exhibition / Visual Arts,Screen Based,Library,Multipurpose,Heritage,OWNERSHIP,,,
Thistletown CC,"925 Albion Road, Toronto, ON, M9V 1A6",925,Albion Road,,Toronto,ON,M9V 1A6,1,1,,,,1,,City Operated,,,
Albion Pool & Health Club,"1485 Albion Road, Toronto, ON, M9V 1B2",1485,Albion Road,,Toronto,ON,M9V 1B2,1,,,,,1,,City Owned,,,
Albion Branch (TPL),"1515 Albion Road, Toronto, ON, M9V 1B2",1515,Albion Road,,Toronto,ON,M9V 1B2,1,1,,,1,1,,City Operated,,,
Theatre Francais de Toronto - Centre for Creation,"21 College Street, Office 610, Toronto, ON, M5G 2B3",21,College Street,Office 610,Toronto,ON,M5G 2B3,1,1,,,,,1,Owned by others,,,
Humber Arboretum Gardens,"203 Humber College Boulevard, Toronto, ON, M9W 5L7",203,Humber College Boulevard,,Toronto,ON,M9W 5L7,1,,,,,1,,City Owned,,,
Thistletown Baptist Church,"2534 Kipling Avenue, Toronto, ON, M9V 3A9",2534,Kipling Avenue,,Toronto,ON,M9V 3A9,1,,,,,1,,Owned by others,,,
North Albion Collegiate Institute,"2580 Kipling Avenue, Toronto, ON, M9V 3B2",2580,Kipling Avenue,,Toronto,ON,M9V 3B2,1,1,,,,1,,Owned by others,,,
Smithfield Community Services,"175 Mount Olive Drive, Toronto, ON, M9V 2E3",175,Mount Olive Drive,,Toronto,ON,M9V 2E3,1,,,,,1,,City Owned,,,
Rexdale Community Hub,"21 Panorama Court, Toronto, ON, M9V 4E3",21,Panorama Court,,Toronto,ON,M9V 4E3,1,,,,,1,,City Owned,,,
Elmbank Community Centre,"10 Rampart Road, Toronto, ON, M9V 4L9",10,Rampart Road,,Toronto,ON,M9V 4L9,1,1,,,,1,,City Owned,,,
Franklin Carmichael Arts Centre,"34 Riverdale Drive, Toronto, ON, M9V 1C8",34,Riverdale Drive,,Toronto,ON,M9V 1C8,1,,1,,,1,1,City Owned,,,
North Kipling Community Centre,"2 Rowntree Road, Toronto, ON, M9V 5G6",2,Rowntree Road,,Toronto,ON,M9V 5G6,1,1,,,,1,,City Owned,,,
Crowne Plaza Hotel,"33 Carlson Court, Toronto, ON, M9W 6H5",33,Carlson Court,,Toronto,ON,M9W 6H5,2,,,,,1,,Owned by others,,,
Toronto Congress Centre,"650 Dixon Road, Toronto, ON, M9W 1J1",650,Dixon Road,,Toronto,ON,M9W 1J1,2,1,,,,1,,Owned by others,,,
Doubletree International Plaza Hotel,"650 Dixon Road, Toronto, ON, M9W 1J3",650,Dixon Road,,Toronto,ON,M9W 1J3,2,,,,,1,,Owned by others,,,
Sheraton Toronto Airport Hotel,"801 Dixon Road, Toronto, ON, M9W 1J5",801,Dixon Road,,Toronto,ON,M9W 1J5,2,,,,,1,,Owned by others,,,
